model,task,n_layers,v1_pick,oracle_layer,v1_regret,v1_rank_agree
google-bert/bert-base-uncased,STS,13,0,1,0.0901,0.374
google-bert/bert-base-uncased,RETRIEVAL,13,0,5,0.012,-0.144
google-bert/bert-base-uncased,sst2,13,0,8,0.0849,-0.443
google-bert/bert-base-uncased,trec,13,0,8,0.102,-0.514
google-bert/bert-base-uncased,subj,13,0,8,0.06,-0.601
FacebookAI/roberta-base,STS,13,0,7,0.0818,-0.423
FacebookAI/roberta-base,RETRIEVAL,13,0,10,0.008,0.074
FacebookAI/roberta-base,sst2,13,0,8,0.1147,-0.027
FacebookAI/roberta-base,trec,13,0,9,0.118,-0.198
FacebookAI/roberta-base,subj,13,0,9,0.055,-0.27
distilbert-base-uncased,STS,7,0,5,0.0958,-0.571
distilbert-base-uncased,RETRIEVAL,7,0,1,0.01,0.491
distilbert-base-uncased,sst2,7,0,6,0.1044,-0.857
distilbert-base-uncased,trec,7,0,4,0.06,-0.679
distilbert-base-uncased,subj,7,0,5,0.059,-0.857
google/electra-base-discriminator,STS,13,0,1,0.0165,0.852
google/electra-base-discriminator,RETRIEVAL,13,0,0,0.0,0.851
google/electra-base-discriminator,sst2,13,0,9,0.1502,-0.681
google/electra-base-discriminator,trec,13,0,9,0.14,-0.625
google/electra-base-discriminator,subj,13,0,8,0.076,-0.787
EleutherAI/pythia-410m,STS,25,0,0,0.0,0.544
EleutherAI/pythia-410m,RETRIEVAL,25,0,4,0.006,0.723
EleutherAI/pythia-410m,sst2,25,0,11,0.1112,-0.658
EleutherAI/pythia-410m,trec,25,0,22,0.106,-0.497
EleutherAI/pythia-410m,subj,25,0,11,0.062,-0.552
EleutherAI/pythia-160m,STS,13,0,0,0.0,0.648
EleutherAI/pythia-160m,RETRIEVAL,13,0,0,0.0,0.462
EleutherAI/pythia-160m,sst2,13,0,5,0.0768,-0.71
EleutherAI/pythia-160m,trec,13,0,8,0.1,-0.518
EleutherAI/pythia-160m,subj,13,0,8,0.05,-0.468
openai-community/gpt2,STS,13,0,1,0.066,0.676
openai-community/gpt2,RETRIEVAL,13,0,9,0.064,0.523
openai-community/gpt2,sst2,13,0,6,0.0734,-0.154
openai-community/gpt2,trec,13,0,11,0.106,-0.066
openai-community/gpt2,subj,13,0,9,0.047,-0.28
facebook/opt-350m,STS,25,23,18,0.0726,0.428
facebook/opt-350m,RETRIEVAL,25,23,14,0.028,-0.062
facebook/opt-350m,sst2,25,23,17,0.0562,0.744
facebook/opt-350m,trec,25,23,10,0.018,0.69
facebook/opt-350m,subj,25,23,19,0.01,0.755
sentence-transformers/all-mpnet-base-v2,STS,13,0,12,0.1444,-0.236
sentence-transformers/all-mpnet-base-v2,RETRIEVAL,13,0,12,0.004,0.49
sentence-transformers/all-mpnet-base-v2,sst2,13,0,11,0.1502,-0.819
sentence-transformers/all-mpnet-base-v2,trec,13,0,10,0.138,-0.885
sentence-transformers/all-mpnet-base-v2,subj,13,0,9,0.064,-0.801
sentence-transformers/all-MiniLM-L12-v2,STS,13,12,12,0.0,0.203
sentence-transformers/all-MiniLM-L12-v2,RETRIEVAL,13,12,11,0.0,0.189
sentence-transformers/all-MiniLM-L12-v2,sst2,13,12,10,0.0367,-0.404
sentence-transformers/all-MiniLM-L12-v2,trec,13,12,10,0.022,-0.342
sentence-transformers/all-MiniLM-L12-v2,subj,13,12,6,0.028,-0.449
sentence-transformers/all-MiniLM-L6-v2,STS,7,6,6,0.0,-0.036
sentence-transformers/all-MiniLM-L6-v2,RETRIEVAL,7,6,6,0.0,0.018
sentence-transformers/all-MiniLM-L6-v2,sst2,7,6,5,0.0195,-0.214
sentence-transformers/all-MiniLM-L6-v2,trec,7,6,4,0.054,-0.464
sentence-transformers/all-MiniLM-L6-v2,subj,7,6,5,0.044,-0.714
sentence-transformers/paraphrase-mpnet-base-v2,STS,13,0,12,0.1732,-0.192
sentence-transformers/paraphrase-mpnet-base-v2,RETRIEVAL,13,0,12,0.004,0.098
sentence-transformers/paraphrase-mpnet-base-v2,sst2,13,0,11,0.1548,-0.495
sentence-transformers/paraphrase-mpnet-base-v2,trec,13,0,10,0.136,-0.638
sentence-transformers/paraphrase-mpnet-base-v2,subj,13,0,7,0.063,-0.625
intfloat/e5-base-v2,STS,13,0,12,0.2508,-0.456
intfloat/e5-base-v2,RETRIEVAL,13,0,12,0.016,-0.227
intfloat/e5-base-v2,sst2,13,0,10,0.1709,-0.824
intfloat/e5-base-v2,trec,13,0,9,0.126,-0.868
intfloat/e5-base-v2,subj,13,0,8,0.08,-0.824
intfloat/e5-small-v2,STS,13,0,12,0.2173,0.253
intfloat/e5-small-v2,RETRIEVAL,13,0,12,0.016,0.453
intfloat/e5-small-v2,sst2,13,0,10,0.1273,-0.407
intfloat/e5-small-v2,trec,13,0,10,0.218,-0.531
intfloat/e5-small-v2,subj,13,0,9,0.082,-0.709
BAAI/bge-base-en-v1.5,STS,13,0,12,0.2699,-0.126
BAAI/bge-base-en-v1.5,RETRIEVAL,13,0,12,0.016,0.176
BAAI/bge-base-en-v1.5,sst2,13,0,11,0.1686,-0.418
BAAI/bge-base-en-v1.5,trec,13,0,9,0.124,-0.81
BAAI/bge-base-en-v1.5,subj,13,0,9,0.072,-0.896
thenlper/gte-base,STS,13,0,12,0.2653,-0.077
thenlper/gte-base,RETRIEVAL,13,0,12,0.018,-0.314
thenlper/gte-base,sst2,13,0,11,0.1892,-0.577
thenlper/gte-base,trec,13,0,9,0.12,-0.886
thenlper/gte-base,subj,13,0,9,0.073,-0.854
