model,params_b,vision_encoder,llm_backbone,training_strategy,year
Yi-VL-6B,6.0,CLIP-ViT-H,Yi-6B,instruction_tuning,2024
LLaVA-1.5-7B,7.0,CLIP-ViT-L,Vicuna-7B,instruction_tuning,2024
InstructBLIP-7B,7.0,EVA-ViT-G,Vicuna-7B,instruction_tuning,2023
LLaVA-NeXT-7B,7.0,CLIP-ViT-L,Vicuna-7B,instruction_tuning,2024
ShareGPT4V-7B,7.0,CLIP-ViT-L,Vicuna-7B,instruction_tuning,2024
DeepSeek-VL-7B,7.3,SigLIP-L + SAM-B,DeepSeek-7B,instruction_tuning,2024
MiniGPT-4,8.0,EVA-ViT-G,Vicuna-7B,pretraining_alignment,2023
Cambrian-1-8B,8.0,multi_encoder,LLaMA-3-8B,instruction_tuning,2024
Fuyu-8B,8.0,linear_projection,Persimmon-8B,pretraining_alignment,2023
mPLUG-Owl2,8.2,ViT-L,LLaMA-2-7B,instruction_tuning,2024
Qwen-VL-Chat,9.6,ViT-bigG,Qwen-7B,instruction_tuning,2023
Monkey,9.8,ViT-BigHuge,Qwen-7B,instruction_tuning,2024
BLIP-2,12.1,EVA-ViT-G,FlanT5-XXL,pretraining_alignment,2023
LLaVA-1.5-13B,13.0,CLIP-ViT-L,Vicuna-13B,instruction_tuning,2024
LLaVA-NeXT-13B,13.0,CLIP-ViT-L,Vicuna-13B,instruction_tuning,2024
InstructBLIP-13B,13.0,EVA-ViT-G,Vicuna-13B,instruction_tuning,2023
CogVLM-17B,17.4,EVA2-CLIP-E,Vicuna-7B,instruction_tuning,2024
InternVL-Chat-V1.5,26.0,InternViT-6B,InternLM2-20B,instruction_tuning,2024
Yi-VL-34B,34.0,CLIP-ViT-H,Yi-34B,instruction_tuning,2024
Gemini-Pro-V,500.0,proprietary,Gemini,RLHF,2023
GPT-4V,1800.0,proprietary,GPT-4,RLHF,2023
